NAME	SALARY	TITLE
Bartlett, Daniel Joseph	$168,000	Counselor to the President
Bolten, Joshua B	$168,000	Assistant to the President and Chief of Staff
Fielding, Fred F	$168,000	Counsel to the President
Gillespie, Edward W	$168,000	Counselor to the President
Hadley, Stephen J	$168,000	Assistant to the President for National Security Affairs
Hagin, Joseph W	$168,000	Assistant to the President & Deputy Chief of Staff
Hubbard, Allan B	$168,000	Assistant to the President for Economic Policy & Director, National Economic Council
Kaplan, Joel D	$168,000	Assistant to the President and Deputy Chief of Staff for Policy
McBride, Anita B	$168,000	Assistant to the President and Chief of Staff to the First Lady
McGurn, William J	$168,000	Assistant to the President for Speechwriting
Renner, Liza Wright	$168,000	Assistant to the President for Presidential Personnel
Rove, Karl C	$168,000	Assistant to the President, Deputy Chief of Staff & Senior Advisor
Snow, Robert A	$168,000	Assistant to the President & Press Secretary
Sullivan, Kevin F	$168,000	Assistant to the President for Communications
Townsend, Frances Fragos	$168,000	Assistant to the President for Homeland Security & Counterterrorism
Wolff, Candida Perotti	$168,000	Assistant to the President for Legislative Affairs
Yanes, Raul Francisco	$168,000	Assistant to the President and Staff Secretary
Zinsmeister, Walter Karl	$168,000	Assistant to the President for Domestic Policy
Bagnal, Joel B	$153,000	Deputy Assistant to the President for Homeland Security
Burck, William A	$153,000	Special Counsel to the President
Farren, John Michael	$153,000	Deputy Assistant to the President & Deputy Counsel to the President
Flood, Emmet T	$153,000	Special Counsel to the President
Gambatesa, Linda M	$153,000	Deputy Assistant to the President for Management & Administration
McCormick, David H.	$153,000	Deputy Assistant to the Pres and Deputy National Security Adviser for International Economic Afairs
Evans, Sandra Kay	$147,600	Director of White House Management
Bennett, Melissa S	$141,000	Deputy Assistant to the President For Appointments & Scheduling
Beyer, Todd W	$141,000	Deputy Assistant to the President & Director of Advance
Cram, Julie E	$141,000	Deputy Assistant to the President & Director of Public Liaison
Emling, John G	$141,000	Deputy Assistant to the President for Legislative Affairs
Felts, Jonathan D	$141,000	Deputy Assistant to the President & Director of Political Affairs
Fiddelke, Debbie S	$141,000	Deputy Assistant to the President for Legislative Affairs
Fratto, Salvatore A	$141,000	Deputy Assistant to the President & Deputy Press Secretary
Grant, Margaret M	$141,000	Deputy Assistant to the President & Director of Intergovernmental Affairs
Hein, Jay F	$141,000	Deputy Assistant to the President and Director of the Office of Faith-Based and Community Initiatives
Jackson, Barry S	$141,000	Deputy Assistant to the President & Deputy to the Senior Advisor
Mamo, Jean S	$141,000	Deputy Assistant to the President & Director of Media Affairs
Martin, Catherine J	$141,000	Deputy Assistant to the President & Deputy Director of Communication for Policy & Planning
McIntosh, Brent J	$141,000	Deputy Assistant to the President & Deputy Staff Secretary
Meyer, Daniel P	$141,000	Deputy Assistant to the President for Legislative Affairs
Perino, Dana M	$141,000	Deputy Assistant to the President & Principal Deputy Press Secretary
Sforza, Scott N	$141,000	Deputy Assistant to the President & Deputy Director of Communications for Production
Stanzel, Scott M	$141,000	Deputy Assistant to the President & Deputy Press Secretary
Thiessen, Marc A	$141,000	Deputy Assistant to the President & Deputy Director of Speechwriting
Wehner, Peter H	$141,000	Deputy Assistant to the President & Director of Strategic Initiatives
Robbins, Mark A	$137,000	Executive Director
Saunders, George T	$136,114	Executive Clerk
Sheldon, Kristen Leigh	$128,890	Director, Law Enforcement Policy
Loughlin, Ann L	$125,078	Associate Counsel to the President
Baker, Douglas B	$125,000	Special Assistant to the President for Homeland Security and Senior Director for Border and Transportation Security
Broome, David V	$125,000	Special Assistant to the President for Legislative Affairs
Burnham, Nealton J	$125,000	Special Assistant to the President for White House Management
Coffina, Scott A	$125,000	Associate Counsel to the President
Dunathan, Amy F	$125,000	Associate Counsel to the President
Fahrenkopf, Leslie A	$125,000	Associate Counsel to the President
Frech, Christopher W	$125,000	Special Assistant to the President for Legislative Affairs
Goeglein, Timothy S	$125,000	Special Assistant to the President & Deputy Director of Public Liaison
Karr, Elizabeth Barrett	$125,000	Special Assistant to the President for Legislative Affairs
Lambert, Albert C	$125,000	Associate Counsel to the President
Looney, Andrea B	$125,000	Special Assistant to the President for Legislative Affairs
McGuinness, Martin E	$125,000	Special Assistant to the President for Legislative Affairs
Mistri, Alexander M	$125,000	Special Assistant to the President for Legislative Affairs
Mitnick, John M	$125,000	Associate Counsel to the President
Oprison, Christopher G	$125,000	Associate Counsel to the President
Painter, Richard W	$125,000	Associate Counsel to the President
Purpura, Michael M	$125,000	Associate Counsel to the President
Reyes, Luis A	$125,000	Special Assistant to the President for Presidential Personnel
Scudder Jr., Michael Y	$125,000	Associate Counsel to the President
Stanton, Cheryl M	$125,000	Associate Counsel to the President
Todd, Kathryn C	$125,000	Associate Counsel to the President
Trulio, David V	$125,000	Special Assistant to the President and Executive Secretary
Caine, John Daniel	$120,000	Director, Response Policy
Droege, Philip C	$117,721	Director of Records Management
